system:index,dummy,lat,lon,modis_aod_047,.geo
115_0,1,-6.283715412416053,106.80519570539052,419.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.283715412416053]}"
116_0,1,-6.283715412416053,106.81417885823171,402.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.283715412416053]}"
117_0,1,-6.283715412416053,106.82316201107291,396.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.283715412416053]}"
118_0,1,-6.283715412416053,106.83214516391409,389.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.283715412416053]}"
119_0,1,-6.283715412416053,106.84112831675529,387.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.283715412416053]}"
120_0,1,-6.283715412416053,106.85011146959648,404.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.283715412416053]}"
121_0,1,-6.283715412416053,106.85909462243768,398.7857142857143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.283715412416053]}"
122_0,1,-6.283715412416053,106.86807777527888,400.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.283715412416053]}"
123_0,1,-6.283715412416053,106.87706092812007,395.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.283715412416053]}"
124_0,1,-6.283715412416053,106.88604408096127,396.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.283715412416053]}"
125_0,1,-6.283715412416053,106.89502723380247,411.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.283715412416053]}"
126_0,1,-6.283715412416053,106.90401038664366,413.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.283715412416053]}"
127_0,1,-6.274732259574858,106.76027994118454,420.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.274732259574858]}"
128_0,1,-6.274732259574858,106.76926309402573,445.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.274732259574858]}"
129_0,1,-6.274732259574858,106.77824624686693,430.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.274732259574858]}"
130_0,1,-6.274732259574858,106.78722939970812,425.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.274732259574858]}"
131_0,1,-6.274732259574858,106.79621255254932,426.7142857142857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.274732259574858]}"
132_0,1,-6.274732259574858,106.80519570539052,420.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.274732259574858]}"
133_0,1,-6.274732259574858,106.81417885823171,415.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.274732259574858]}"
134_0,1,-6.274732259574858,106.82316201107291,421.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.274732259574858]}"
135_0,1,-6.274732259574858,106.83214516391409,403.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.274732259574858]}"
136_0,1,-6.274732259574858,106.84112831675529,395.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.274732259574858]}"
137_0,1,-6.274732259574858,106.85011146959648,396.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.274732259574858]}"
138_0,1,-6.274732259574858,106.85909462243768,402.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.274732259574858]}"
