system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
102_0,1,-6.292698565257249,106.84112831675529,0.03604888297142931,1.0886663736777868E-4,0.11570803473435172,4.397573062562391E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.292698565257249]}"
103_0,1,-6.292698565257249,106.85011146959648,0.03571485387879335,1.0677219022780978E-4,0.11589615919649883,4.6273211452056964E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.292698565257249]}"
104_0,1,-6.292698565257249,106.85909462243768,0.03571485387879335,1.0677219022780978E-4,0.11589615919649883,4.6273211452056964E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.292698565257249]}"
105_0,1,-6.292698565257249,106.86807777527888,0.03551406970489219,1.0890690464311227E-4,0.1157934773849592,3.5049502912499916E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.292698565257249]}"
106_0,1,-6.292698565257249,106.87706092812007,0.03571560854708123,1.089069046427834E-4,0.11586498853549432,1.3870496075140749E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.292698565257249]}"
107_0,1,-6.292698565257249,106.88604408096127,0.03569972794508757,1.0837355196647322E-4,0.11586478910426601,1.4560275303689135E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.292698565257249]}"
108_0,1,-6.292698565257249,106.89502723380247,0.035570688752541144,1.0625988579698046E-4,0.11594500738834018,1.4529917098107405E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.292698565257249]}"
109_0,1,-6.292698565257249,106.90401038664366,0.03555969409639627,1.0625988579689554E-4,0.11595866473744883,1.001965824751299E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.292698565257249]}"
110_0,1,-6.283715412416053,106.76027994118454,0.03553129980964082,1.0494712203818652E-4,0.11565332342468966,6.344190478562364E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.283715412416053]}"
111_0,1,-6.283715412416053,106.76926309402573,0.03553129980964082,1.0494712203818652E-4,0.11565332342468966,6.344190478562364E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.283715412416053]}"
112_0,1,-6.283715412416053,106.77824624686693,0.03593986853954699,1.0494711405079002E-4,0.11564959575596853,1.1610164540373178E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.283715412416053]}"
113_0,1,-6.283715412416053,106.78722939970812,0.03553129980966923,1.0753417084348829E-4,0.11566593327760324,1.784057676562046E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.283715412416053]}"
114_0,1,-6.283715412416053,106.79621255254932,0.03551784157747703,1.0646418641235817E-4,0.11566031935384512,2.0627751004310426E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.283715412416053]}"
115_0,1,-6.283715412416053,106.80519570539052,0.035205665815849,1.0915635557955745E-4,0.11557138372459,1.5960338350875527E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.283715412416053]}"
116_0,1,-6.283715412416053,106.81417885823171,0.03533057987429938,1.1008527079203996E-4,0.1155643566387473,8.637385581258876E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.283715412416053]}"
117_0,1,-6.283715412416053,106.82316201107291,0.035535303030644734,1.1142063158348499E-4,0.11563578138648975,2.489960120340161E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.283715412416053]}"
118_0,1,-6.283715412416053,106.83214516391409,0.036067936569427424,1.1996247795439041E-4,0.11575603707830473,3.2534933387787305E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.283715412416053]}"
119_0,1,-6.283715412416053,106.84112831675529,0.03602927818395934,1.0958585320398315E-4,0.11569990360596345,4.0769902061060006E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.283715412416053]}"
120_0,1,-6.283715412416053,106.85011146959648,0.03610016281403596,1.0712335532864662E-4,0.11582224042949824,3.5049502912418974E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.283715412416053]}"
121_0,1,-6.283715412416053,106.85909462243768,0.03610016281403596,1.0712335532864662E-4,0.11582224042949824,3.5049502912418974E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.283715412416053]}"
