system:index,dummy,lat,lon,viirs_ntl,.geo
271_0,1,-6.220833342527687,106.93994299800845,43.35789489746094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93994299800845,-6.220833342527687]}"
272_0,1,-6.220833342527687,106.94892615084963,40.58979034423828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94892615084963,-6.220833342527687]}"
273_0,1,-6.2118501896864915,106.72434732981975,30.084571838378906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.72434732981975,-6.2118501896864915]}"
274_0,1,-6.2118501896864915,106.73333048266095,34.941857147216794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.73333048266095,-6.2118501896864915]}"
275_0,1,-6.2118501896864915,106.74231363550214,31.635507382844622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.74231363550214,-6.2118501896864915]}"
276_0,1,-6.2118501896864915,106.75129678834334,34.59426498413086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.75129678834334,-6.2118501896864915]}"
277_0,1,-6.2118501896864915,106.76027994118454,35.24239518907335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.2118501896864915]}"
278_0,1,-6.2118501896864915,106.76926309402573,42.485477905273434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.2118501896864915]}"
279_0,1,-6.2118501896864915,106.77824624686693,43.33739536213425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.2118501896864915]}"
280_0,1,-6.2118501896864915,106.78722939970812,42.681481170654294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.2118501896864915]}"
281_0,1,-6.2118501896864915,106.79621255254932,69.45922055451766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.2118501896864915]}"
282_0,1,-6.2118501896864915,106.80519570539052,72.23353220204838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.2118501896864915]}"
283_0,1,-6.2118501896864915,106.81417885823171,64.62212415011425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.2118501896864915]}"
284_0,1,-6.2118501896864915,106.82316201107291,73.81494674682617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.2118501896864915]}"
285_0,1,-6.2118501896864915,106.83214516391409,53.825782775878906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.2118501896864915]}"
286_0,1,-6.2118501896864915,106.84112831675529,44.1041987101237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.2118501896864915]}"
287_0,1,-6.2118501896864915,106.85011146959648,41.57945156097412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.2118501896864915]}"
288_0,1,-6.2118501896864915,106.85909462243768,45.653788346510666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.2118501896864915]}"
289_0,1,-6.2118501896864915,106.86807777527888,45.558345317840576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.2118501896864915]}"
290_0,1,-6.2118501896864915,106.87706092812007,46.25218137105306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.2118501896864915]}"
291_0,1,-6.2118501896864915,106.88604408096127,44.08261585235596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.2118501896864915]}"
292_0,1,-6.2118501896864915,106.89502723380247,41.3620670636495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.2118501896864915]}"
293_0,1,-6.2118501896864915,106.90401038664366,41.71402562807684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.2118501896864915]}"
