system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
120_0,1,-6.283715412416053,106.85011146959648,0.03482760596813684,1.075873485987194E-4,0.11687225918697337,3.9785562968504685E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.283715412416053]}"
121_0,1,-6.283715412416053,106.85909462243768,0.03482760596813684,1.075873485987194E-4,0.11687225918697337,3.9785562968504685E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.283715412416053]}"
122_0,1,-6.283715412416053,106.86807777527888,0.034768468729917505,1.0684655539429083E-4,0.11687668035890682,5.549935731626892E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.283715412416053]}"
123_0,1,-6.283715412416053,106.87706092812007,0.03480902721499994,1.0783562260907533E-4,0.11687633013271075,5.262565540890079E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.283715412416053]}"
124_0,1,-6.283715412416053,106.88604408096127,0.034998522674992226,1.0822786265854618E-4,0.11686954206301553,5.1944529241405E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.283715412416053]}"
125_0,1,-6.283715412416053,106.89502723380247,0.035020348082873,1.0471971950140541E-4,0.11686919358349308,5.461743001482538E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.283715412416053]}"
126_0,1,-6.283715412416053,106.90401038664366,0.034794747061692,1.0310362509986727E-4,0.11687084271883422,5.4078559206538287E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.283715412416053]}"
127_0,1,-6.274732259574858,106.76027994118454,0.03505818528254618,1.084774070976338E-4,0.11665352389912148,2.0343788180146558E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.274732259574858]}"
128_0,1,-6.274732259574858,106.76926309402573,0.03505818528254618,1.084774070976338E-4,0.11665352389912148,2.0343788180146558E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.274732259574858]}"
129_0,1,-6.274732259574858,106.77824624686693,0.03503882320162116,1.0843295342976966E-4,0.1166533717661169,5.550023995198756E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.274732259574858]}"
130_0,1,-6.274732259574858,106.78722939970812,0.03503804723684644,1.0841250395802549E-4,0.11675640642898617,6.922468067685954E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.274732259574858]}"
131_0,1,-6.274732259574858,106.79621255254932,0.03503558293535812,1.0859454044999472E-4,0.11675279384414536,5.179759294811228E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.274732259574858]}"
132_0,1,-6.274732259574858,106.80519570539052,0.034838403388836925,1.0479009077533249E-4,0.11676707625160714,3.956539244220816E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.274732259574858]}"
133_0,1,-6.274732259574858,106.81417885823171,0.034831092661237774,1.0442888175753104E-4,0.11675653235097354,7.365629081817462E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.274732259574858]}"
134_0,1,-6.274732259574858,106.82316201107291,0.03483369320436678,1.0382272193958802E-4,0.1168738870480877,6.038339140742292E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.274732259574858]}"
135_0,1,-6.274732259574858,106.83214516391409,0.035042602674878374,1.0600337445823294E-4,0.11687558522096152,1.909758503582869E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.274732259574858]}"
136_0,1,-6.274732259574858,106.84112831675529,0.03483299629071206,1.0879608191701327E-4,0.11687290669588848,5.41504653189713E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.274732259574858]}"
137_0,1,-6.274732259574858,106.85011146959648,0.03479164776976885,1.0766997065803339E-4,0.11686098293030771,5.16404215835628E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.274732259574858]}"
138_0,1,-6.274732259574858,106.85909462243768,0.03479164776976885,1.0766997065803339E-4,0.11686098293030771,5.16404215835628E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.274732259574858]}"
139_0,1,-6.274732259574858,106.86807777527888,0.03480478832128808,1.0768827633018356E-4,0.11686848064861391,9.357637094005723E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.274732259574858]}"
140_0,1,-6.274732259574858,106.87706092812007,0.03480529992543332,1.0768827568592038E-4,0.11687724680321394,6.883221309910284E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.274732259574858]}"
141_0,1,-6.274732259574858,106.88604408096127,0.03499938466672147,1.0844652417597027E-4,0.11687365680729186,6.748421756112311E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.274732259574858]}"
142_0,1,-6.274732259574858,106.89502723380247,0.03499495507802602,1.0463617446876198E-4,0.11686710782727447,4.483112446657488E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.274732259574858]}"
143_0,1,-6.274732259574858,106.90401038664366,0.034907421868113214,1.0494409686981893E-4,0.11686507880633583,5.659239041629009E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.274732259574858]}"
