system:index,dummy,lat,lon,viirs_ntl,.geo
35_0,1,-6.337614329463224,106.90401038664366,26.632167642766778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.337614329463224]}"
36_0,1,-6.337614329463224,106.91299353948486,24.52519927153716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.337614329463224]}"
37_0,1,-6.32863117662203,106.80519570539052,33.88690121558405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.32863117662203]}"
38_0,1,-6.32863117662203,106.81417885823171,30.388305415277895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.32863117662203]}"
39_0,1,-6.32863117662203,106.82316201107291,31.86499757033128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.32863117662203]}"
40_0,1,-6.32863117662203,106.83214516391409,32.37854241633761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.32863117662203]}"
41_0,1,-6.32863117662203,106.84112831675529,29.86675192604602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.32863117662203]}"
42_0,1,-6.32863117662203,106.85011146959648,30.120909773785137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.32863117662203]}"
43_0,1,-6.32863117662203,106.85909462243768,31.74270392381228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.32863117662203]}"
44_0,1,-6.32863117662203,106.86807777527888,30.699994687680846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.32863117662203]}"
45_0,1,-6.32863117662203,106.87706092812007,30.670276898604172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.32863117662203]}"
46_0,1,-6.32863117662203,106.88604408096127,31.659618841635215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.32863117662203]}"
47_0,1,-6.32863117662203,106.89502723380247,27.223124137291542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.32863117662203]}"
48_0,1,-6.32863117662203,106.90401038664366,26.060432815551756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.32863117662203]}"
49_0,1,-6.32863117662203,106.91299353948486,21.419385544459026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.32863117662203]}"
50_0,1,-6.319648023780834,106.81417885823171,31.398394474616417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.319648023780834]}"
51_0,1,-6.319648023780834,106.82316201107291,29.882525228684948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.319648023780834]}"
52_0,1,-6.319648023780834,106.83214516391409,29.405138455904446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.319648023780834]}"
53_0,1,-6.319648023780834,106.84112831675529,30.356758552022498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.319648023780834]}"
54_0,1,-6.319648023780834,106.85011146959648,28.312784496106598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.319648023780834]}"
55_0,1,-6.319648023780834,106.85909462243768,30.643725633621216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.319648023780834]}"
56_0,1,-6.319648023780834,106.86807777527888,29.87399041025262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.319648023780834]}"
57_0,1,-6.319648023780834,106.87706092812007,31.651344353812082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.319648023780834]}"
58_0,1,-6.319648023780834,106.88604408096127,34.952510888235906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.319648023780834]}"
59_0,1,-6.319648023780834,106.89502723380247,29.596112285341537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.319648023780834]}"
60_0,1,-6.319648023780834,106.90401038664366,27.576020154086027,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.319648023780834]}"
61_0,1,-6.319648023780834,106.91299353948486,21.66645622253418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.319648023780834]}"
62_0,1,-6.310664870939639,106.77824624686693,32.20402908325195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.310664870939639]}"
63_0,1,-6.310664870939639,106.78722939970812,31.168049696720008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.310664870939639]}"
64_0,1,-6.310664870939639,106.79621255254932,34.70884554313891,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.310664870939639]}"
65_0,1,-6.310664870939639,106.80519570539052,33.60526518388228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.310664870939639]}"
66_0,1,-6.310664870939639,106.81417885823171,31.622253799438475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.310664870939639]}"
67_0,1,-6.310664870939639,106.82316201107291,23.433692094051477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.310664870939639]}"
68_0,1,-6.310664870939639,106.83214516391409,28.650858176381963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.310664870939639]}"
69_0,1,-6.310664870939639,106.84112831675529,33.89159633228614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.310664870939639]}"
70_0,1,-6.310664870939639,106.85011146959648,29.583006117078995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.310664870939639]}"
71_0,1,-6.310664870939639,106.85909462243768,34.57920045119066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.310664870939639]}"
72_0,1,-6.310664870939639,106.86807777527888,34.851433817545576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.310664870939639]}"
73_0,1,-6.310664870939639,106.87706092812007,37.44224289136055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.310664870939639]}"
74_0,1,-6.310664870939639,106.88604408096127,39.039373494810974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.310664870939639]}"
75_0,1,-6.310664870939639,106.89502723380247,34.93372573852539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.310664870939639]}"
76_0,1,-6.310664870939639,106.90401038664366,29.842584759581325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.310664870939639]}"
77_0,1,-6.310664870939639,106.91299353948486,29.564127095540364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.310664870939639]}"
78_0,1,-6.301681718098443,106.77824624686693,36.148254818386505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.301681718098443]}"
79_0,1,-6.301681718098443,106.78722939970812,36.70766773739376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.301681718098443]}"
80_0,1,-6.301681718098443,106.79621255254932,40.15554222307707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.301681718098443]}"
81_0,1,-6.301681718098443,106.80519570539052,35.32702907883977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.301681718098443]}"
82_0,1,-6.301681718098443,106.81417885823171,34.666334576076935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.301681718098443]}"
83_0,1,-6.301681718098443,106.82316201107291,35.41640538906832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.301681718098443]}"
84_0,1,-6.301681718098443,106.83214516391409,32.593039044466884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.301681718098443]}"
85_0,1,-6.301681718098443,106.84112831675529,40.34994548075908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.301681718098443]}"
86_0,1,-6.301681718098443,106.85011146959648,35.297174484010725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.301681718098443]}"
87_0,1,-6.301681718098443,106.85909462243768,43.68240306416496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.301681718098443]}"
88_0,1,-6.301681718098443,106.86807777527888,40.16104721696409,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.301681718098443]}"
89_0,1,-6.301681718098443,106.87706092812007,39.14051037956686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.301681718098443]}"
90_0,1,-6.301681718098443,106.88604408096127,49.67579814365932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.301681718098443]}"
91_0,1,-6.301681718098443,106.89502723380247,38.77898597717285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.301681718098443]}"
92_0,1,-6.301681718098443,106.90401038664366,27.10058926427087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.301681718098443]}"
