lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,modis_aod_047,viirs_ntl
-6.301681718098443,106.80519570539052,0.0351162149451627,0.0001020897058145435,0.1167524291066188,5.510536694521789e-05,419.3333333333333,35.32702907883977
-6.301681718098443,106.81417885823171,0.034960213621298,0.00010024383810902152,0.1167554319773627,7.776325099218693e-05,410.4285714285714,34.666334576076935
-6.301681718098443,106.82316201107292,0.0349403235435266,0.00010039457508841416,0.1167584606628223,3.827917705907172e-05,403.6666666666667,35.41640538906832
-6.301681718098443,106.83214516391408,0.0350108107253679,0.00010223502690011203,0.1167635097249658,3.748513191018074e-05,395.3333333333333,32.593039044466884
-6.301681718098443,106.84112831675527,0.0349976694805442,0.00010178147607425152,0.1167615761545249,3.924371044219549e-05,398.8333333333333,40.34994548075908
-6.301681718098443,106.85011146959648,0.0348890573763739,0.00010469667812250229,0.1167782800941171,3.924742069512695e-05,394.1666666666667,35.297174484010725
-6.301681718098443,106.85909462243768,0.0348890573763739,0.00010469667812250229,0.1167782800941171,3.924742069512695e-05,401.8333333333333,43.68240306416496
-6.301681718098443,106.86807777527888,0.0349853574636732,0.00010440922144785244,0.1167731811697741,7.390679380120801e-05,410.5,40.16104721696409
-6.301681718098443,106.87706092812007,0.0350139034467287,0.00010476069702438616,0.116765775437704,8.613168633584016e-05,403.4,39.14051037956686
-6.301681718098443,106.88604408096128,0.0350253750855217,0.00010504914445939398,0.1167480727562879,6.306554863077499e-05,411.25,49.67579814365932
-6.301681718098443,106.89502723380248,0.0350335682997416,0.00010124669360166905,0.1167498608865598,9.21222015208598e-05,411.22222222222223,38.77898597717285
-6.301681718098443,106.90401038664366,0.0350397672320057,0.00010044149630681964,0.1167541936869812,8.353290976464105e-05,428.5,27.10058926427087
-6.301681718098443,106.91299353948486,0.0348881609789041,9.8699393184359e-05,0.1167586759579027,8.098337276455542e-05,443.25,27.470983686901278
-6.292698565257249,106.76926309402572,0.0353278184037229,0.00010502271580181108,0.1166448850753651,4.031378555659828e-05,426.3333333333333,39.07865469796317
-6.292698565257249,106.77824624686691,0.0350281816846825,0.00010152560147321644,0.1166500270800989,3.955614935629311e-05,412.0,45.83511570521763
-6.292698565257249,106.78722939970812,0.0349966957476551,0.00010450074864670009,0.1167567883254344,5.430877654808433e-05,411.0,50.09231237059865
-6.292698565257249,106.79621255254932,0.0347912872810686,0.00010433213314768568,0.1167580315684801,5.630667543391805e-05,421.0,49.16401788300159
-6.292698565257249,106.80519570539052,0.0348058762857438,0.00010458258263308296,0.1167500413851461,3.548903868020984e-05,411.4,52.18146741712415
-6.292698565257249,106.81417885823171,0.0348318925297228,0.0001015464463100901,0.1168807077785409,5.487775484561371e-05,406.3333333333333,41.22278639849495
-6.292698565257249,106.82316201107292,0.0348110709087217,0.00010203900202977304,0.1168890575223283,4.556540406557057e-05,387.3333333333333,38.65726234172953
-6.292698565257249,106.83214516391408,0.0350275799734281,0.00010289899959540197,0.1168757726973184,5.47422823295025e-05,389.6666666666667,35.668120816222626
-6.292698565257249,106.84112831675527,0.0350324708746292,0.00010642156363838046,0.1168811360337699,3.787796528053136e-05,396.6666666666667,36.36964943968219
-6.292698565257249,106.85011146959648,0.034811240957306,0.00010566386946319112,0.1168755288728453,3.818971964593464e-05,403.25,31.156436284383137
-6.292698565257249,106.85909462243768,0.034811240957306,0.00010566386946319112,0.1168755288728453,3.818971964593464e-05,403.3333333333333,34.08433448791504
-6.292698565257249,106.86807777527888,0.0347817593234019,0.0001077944697800936,0.1167544428019792,6.334059232764556e-05,404.75,40.19383507966995
-6.292698565257249,106.87706092812007,0.0348988416106808,0.00010421533119519008,0.1167618620425613,7.156968849189385e-05,403.8571428571428,39.27806847807649
-6.292698565257249,106.88604408096128,0.0350381833248904,0.0001086619951899492,0.1168767451565175,5.116124188061921e-05,406.07142857142856,39.21052397542925
-6.292698565257249,106.89502723380248,0.0347680601474071,0.00010493640719680492,0.1167528231073625,5.2336332891284405e-05,417.4,31.872760354018794
-6.292698565257249,106.90401038664366,0.0350088745697162,0.00010310803590968257,0.1168199375581213,9.320171766882346e-05,412.8,29.086219692230223
-6.283715412416053,106.76027994118454,0.035295410648035,0.00010486911677122712,0.116647181432267,2.1018237290794992e-05,418.1666666666667,32.15660617052219
-6.283715412416053,106.76926309402572,0.035295410648035,0.00010486911677122712,0.116647181432267,2.1018237290794992e-05,419.7142857142857,45.77532018869409
-6.283715412416053,106.77824624686691,0.0350302476435658,0.00010490850307397484,0.1167571438556649,4.847406932989489e-05,418.57142857142856,50.84968912033808
-6.283715412416053,106.78722939970812,0.0350375361637064,0.00010514576926887104,0.1167442931171972,6.252180337456902e-05,420.125,43.44231585093907
