lat,lon,predicted_class,predicted_label
-6.184900731162906,106.71536417697855,1,MEDIUM
-6.184900731162906,106.72434732981976,2,UNHEALTHY
-6.184900731162906,106.73333048266096,1,MEDIUM
-6.184900731162906,106.74231363550214,1,MEDIUM
-6.184900731162906,106.75129678834334,1,MEDIUM
-6.184900731162906,106.76027994118454,1,MEDIUM
-6.184900731162906,106.76926309402572,1,MEDIUM
-6.184900731162906,106.77824624686691,1,MEDIUM
-6.184900731162906,106.78722939970812,1,MEDIUM
-6.184900731162906,106.79621255254932,1,MEDIUM
-6.184900731162906,106.80519570539052,2,UNHEALTHY
-6.184900731162906,106.81417885823171,1,MEDIUM
-6.184900731162906,106.82316201107292,1,MEDIUM
-6.184900731162906,106.83214516391408,1,MEDIUM
-6.184900731162906,106.84112831675527,1,MEDIUM
-6.184900731162906,106.85011146959648,1,MEDIUM
-6.184900731162906,106.85909462243768,1,MEDIUM
-6.184900731162906,106.86807777527888,1,MEDIUM
-6.184900731162906,106.87706092812007,1,MEDIUM
-6.184900731162906,106.88604408096128,1,MEDIUM
-6.184900731162906,106.89502723380248,1,MEDIUM
-6.184900731162906,106.90401038664366,1,MEDIUM
-6.184900731162906,106.91299353948486,1,MEDIUM
-6.184900731162906,106.92197669232606,1,MEDIUM
-6.184900731162906,106.93095984516724,0,GOOD
-6.184900731162906,106.93994299800843,1,MEDIUM
-6.184900731162906,106.94892615084964,2,UNHEALTHY
-6.184900731162906,106.95790930369084,0,GOOD
-6.184900731162906,106.96689245653202,1,MEDIUM
-6.175917578321711,106.69739787129618,1,MEDIUM
-6.175917578321711,106.70638102413736,1,MEDIUM
-6.175917578321711,106.71536417697855,1,MEDIUM
-6.175917578321711,106.72434732981976,2,UNHEALTHY
-6.175917578321711,106.73333048266096,1,MEDIUM
-6.175917578321711,106.74231363550214,0,GOOD
-6.175917578321711,106.75129678834334,0,GOOD
-6.175917578321711,106.76027994118454,0,GOOD
-6.175917578321711,106.76926309402572,1,MEDIUM
-6.175917578321711,106.77824624686691,1,MEDIUM
-6.175917578321711,106.78722939970812,1,MEDIUM
-6.175917578321711,106.79621255254932,1,MEDIUM
-6.175917578321711,106.80519570539052,1,MEDIUM
-6.175917578321711,106.81417885823171,1,MEDIUM
-6.175917578321711,106.82316201107292,1,MEDIUM
-6.175917578321711,106.83214516391408,1,MEDIUM
-6.175917578321711,106.84112831675527,0,GOOD
-6.175917578321711,106.85011146959648,1,MEDIUM
-6.175917578321711,106.85909462243768,1,MEDIUM
-6.175917578321711,106.86807777527888,1,MEDIUM
-6.175917578321711,106.87706092812007,1,MEDIUM
-6.175917578321711,106.88604408096128,0,GOOD
-6.175917578321711,106.89502723380248,0,GOOD
-6.175917578321711,106.90401038664366,1,MEDIUM
-6.175917578321711,106.91299353948486,1,MEDIUM
-6.175917578321711,106.92197669232606,1,MEDIUM
-6.175917578321711,106.93095984516724,2,UNHEALTHY
-6.175917578321711,106.93994299800843,1,MEDIUM
-6.175917578321711,106.94892615084964,1,MEDIUM
-6.175917578321711,106.95790930369084,1,MEDIUM
-6.175917578321711,106.96689245653202,1,MEDIUM
-6.166934425480515,106.69739787129618,0,GOOD
-6.166934425480515,106.70638102413736,1,MEDIUM
-6.166934425480515,106.71536417697855,1,MEDIUM
-6.166934425480515,106.72434732981976,1,MEDIUM
-6.166934425480515,106.73333048266096,0,GOOD
-6.166934425480515,106.74231363550214,1,MEDIUM
-6.166934425480515,106.75129678834334,1,MEDIUM
-6.166934425480515,106.76027994118454,1,MEDIUM
-6.166934425480515,106.76926309402572,1,MEDIUM
-6.166934425480515,106.77824624686691,1,MEDIUM
-6.166934425480515,106.78722939970812,0,GOOD
-6.166934425480515,106.79621255254932,1,MEDIUM
-6.166934425480515,106.80519570539052,1,MEDIUM
-6.166934425480515,106.81417885823171,1,MEDIUM
-6.166934425480515,106.82316201107292,1,MEDIUM
-6.166934425480515,106.83214516391408,1,MEDIUM
-6.166934425480515,106.84112831675527,1,MEDIUM
-6.166934425480515,106.85011146959648,1,MEDIUM
-6.166934425480515,106.85909462243768,1,MEDIUM
-6.166934425480515,106.86807777527888,1,MEDIUM
-6.166934425480515,106.87706092812007,2,UNHEALTHY
-6.166934425480515,106.88604408096128,1,MEDIUM
-6.166934425480515,106.89502723380248,1,MEDIUM
-6.166934425480515,106.90401038664366,1,MEDIUM
-6.166934425480515,106.91299353948486,1,MEDIUM
-6.166934425480515,106.92197669232606,1,MEDIUM
-6.166934425480515,106.93095984516724,0,GOOD
-6.166934425480515,106.93994299800843,1,MEDIUM
-6.166934425480515,106.94892615084964,1,MEDIUM
-6.166934425480515,106.95790930369084,1,MEDIUM
-6.166934425480515,106.96689245653202,2,UNHEALTHY
-6.15795127263932,106.68841471845498,1,MEDIUM
-6.15795127263932,106.69739787129618,1,MEDIUM
-6.15795127263932,106.70638102413736,1,MEDIUM
-6.15795127263932,106.71536417697855,1,MEDIUM
-6.15795127263932,106.72434732981976,0,GOOD
-6.15795127263932,106.73333048266096,2,UNHEALTHY
-6.15795127263932,106.74231363550214,1,MEDIUM
-6.15795127263932,106.75129678834334,1,MEDIUM
-6.15795127263932,106.76027994118454,2,UNHEALTHY
-6.15795127263932,106.76926309402572,1,MEDIUM
-6.15795127263932,106.77824624686691,1,MEDIUM
-6.15795127263932,106.78722939970812,1,MEDIUM
-6.15795127263932,106.79621255254932,1,MEDIUM
-6.15795127263932,106.80519570539052,0,GOOD
-6.15795127263932,106.81417885823171,1,MEDIUM
-6.15795127263932,106.82316201107292,1,MEDIUM
-6.15795127263932,106.83214516391408,1,MEDIUM
-6.15795127263932,106.84112831675527,2,UNHEALTHY
-6.15795127263932,106.85011146959648,1,MEDIUM
-6.15795127263932,106.85909462243768,0,GOOD
-6.15795127263932,106.86807777527888,0,GOOD
-6.15795127263932,106.87706092812007,1,MEDIUM
-6.15795127263932,106.88604408096128,1,MEDIUM
-6.15795127263932,106.89502723380248,1,MEDIUM
-6.15795127263932,106.90401038664366,1,MEDIUM
-6.15795127263932,106.91299353948486,1,MEDIUM
-6.15795127263932,106.92197669232606,1,MEDIUM
-6.15795127263932,106.93095984516724,1,MEDIUM
-6.15795127263932,106.93994299800843,1,MEDIUM
-6.15795127263932,106.94892615084964,1,MEDIUM
-6.15795127263932,106.95790930369084,1,MEDIUM
-6.15795127263932,106.96689245653202,2,UNHEALTHY
-6.148968119798125,106.68841471845498,1,MEDIUM
-6.148968119798125,106.69739787129618,2,UNHEALTHY
-6.148968119798125,106.70638102413736,1,MEDIUM
-6.148968119798125,106.71536417697855,1,MEDIUM
-6.148968119798125,106.72434732981976,2,UNHEALTHY
-6.148968119798125,106.73333048266096,1,MEDIUM
-6.148968119798125,106.74231363550214,0,GOOD
-6.148968119798125,106.75129678834334,1,MEDIUM
-6.148968119798125,106.76027994118454,2,UNHEALTHY
-6.148968119798125,106.76926309402572,1,MEDIUM
-6.148968119798125,106.77824624686691,1,MEDIUM
-6.148968119798125,106.78722939970812,1,MEDIUM
-6.148968119798125,106.79621255254932,1,MEDIUM
-6.148968119798125,106.80519570539052,2,UNHEALTHY
