lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,viirs_ntl
-6.265749106733662,106.85011146959648,0.0365014092841232,0.00011601846544162464,0.1176078859914088,5.283778768303778e-05,32.517356872558594
-6.265749106733662,106.85909462243768,0.0365014092841232,0.00011601846544162464,0.1176078859914088,5.283778768303778e-05,39.68743096628496
-6.265749106733662,106.86807777527888,0.0367964439693262,0.00011542737450403432,0.1177607184827463,5.266325965790939e-05,38.68625381027443
-6.265749106733662,106.87706092812007,0.0364453409864205,0.0001138012686887073,0.1176124154366057,6.811900980530922e-05,31.554374186197915
-6.265749106733662,106.88604408096128,0.0370020393505564,0.00011403039557422358,0.1177449318635255,9.176077099298864e-05,30.358288870917427
-6.265749106733662,106.89502723380248,0.0368081970042838,0.00010830113029025536,0.1177419126288503,0.0001109326564830782,31.56129084406672
-6.265749106733662,106.90401038664366,0.0365008520489938,0.000105703987221648,0.1177518102559595,0.00010008142271530776,25.812530517578125
-6.256765953892468,106.76027994118454,0.0369825735688513,0.00013627791380747774,0.1177505666939769,-8.669776444270967e-05,33.0963499886649
-6.256765953892468,106.76926309402572,0.0369825735688513,0.00013627791380747774,0.1177505666939769,-8.669776444270967e-05,34.57787399291992
-6.256765953892468,106.77824624686691,0.0370990024524011,0.0001332602471099137,0.1177493781222759,-5.393483759731834e-05,38.22996215820312
-6.256765953892468,106.78722939970812,0.0369876759588989,0.0001307045270304889,0.1177488600801075,-5.090937121303992e-05,38.72026963667436
-6.256765953892468,106.79621255254932,0.0370898053398207,0.0001309531514012455,0.1177536424690056,-2.3641673936637145e-05,44.3491465250651
-6.256765953892468,106.80519570539052,0.0372311288941153,0.00012959023266107716,0.1177620966275832,6.458942152672296e-06,46.87814585367838
-6.256765953892468,106.81417885823171,0.0371105126515266,0.00013088132214764345,0.1176260715066211,-3.9357636890386976e-05,45.29505462646485
-6.256765953892468,106.82316201107292,0.0369900158084443,0.00013246291378310368,0.1176867518084597,5.654386367491042e-06,37.93006134033203
-6.256765953892468,106.83214516391408,0.0370631366617447,0.00012888416044479063,0.1177328515052234,5.164262963464549e-05,38.428657913208006
-6.256765953892468,106.84112831675527,0.0367566509982506,0.00012319607114864568,0.1176117817222491,5.0354355780252027e-05,36.07588334517045
-6.256765953892468,106.85011146959648,0.0367543730101393,0.00011813338694713236,0.1177501653630821,4.757462844657251e-05,37.64021301269531
-6.256765953892468,106.85909462243768,0.0367543730101393,0.00011813338694713236,0.1177501653630821,4.757462844657251e-05,35.886158999274755
-6.256765953892468,106.86807777527888,0.0367952724365797,0.00011425036199876728,0.1176085114271289,5.303938976098055e-05,40.62402115858995
-6.256765953892468,106.87706092812007,0.0367419160722242,0.0001159818358955744,0.1176158785481766,5.3380323478297344e-05,39.398677468299866
-6.256765953892468,106.88604408096128,0.0370177514851693,0.00010911130433116718,0.1176108343869778,5.39923144970964e-05,28.854610092785894
-6.256765953892468,106.89502723380248,0.0367784132023889,0.0001054012847210098,0.1176078458737063,6.781561933162742e-05,29.28567664924709
-6.256765953892468,106.90401038664366,0.036968257137291,0.000102047299151166,0.1176783195269648,8.420037274862804e-05,31.92212015268754
-6.256765953892468,106.91299353948486,0.0368142589356008,9.693637525136567e-05,0.1177423263402044,8.87171630187286e-05,41.09168936989524
-6.247782801051272,106.75129678834334,0.0371885994909222,0.00014002093666923206,0.1177368535651613,-4.595218979372445e-05,31.34656583345853
-6.247782801051272,106.76027994118454,0.0371894563709843,0.0001427523238818401,0.1177238971135611,-6.615709557272352e-05,31.877894507514107
-6.247782801051272,106.76926309402572,0.0371894563709843,0.0001427523238818401,0.1177238971135611,-6.615709557272352e-05,31.12109375
-6.247782801051272,106.77824624686691,0.0375530132183686,0.00014011387247583795,0.1178391045638541,-3.0905858412020004e-05,43.07227921485901
-6.247782801051272,106.78722939970812,0.0374160204082502,0.00014181332226047595,0.1177959714992699,-2.643156853312586e-05,42.40665626525879
-6.247782801051272,106.79621255254932,0.0372241227060599,0.00014128555238088284,0.1177202851362925,-1.7647938205544462e-05,51.46467208862305
-6.247782801051272,106.80519570539052,0.0373087607101736,0.00014458516624592683,0.1176312404943701,-1.2273726497361984e-06,50.85817219660832
-6.247782801051272,106.81417885823171,0.037238923211923,0.00014269714135597324,0.1176375648086264,-1.1245141730942371e-05,41.517425537109375
-6.247782801051272,106.82316201107292,0.0369551013415777,0.0001362571228588445,0.1176246493204771,1.1834319334061138e-05,40.84001159667969
-6.247782801051272,106.83214516391408,0.0370998364477521,0.0001356417643554905,0.1176235327797626,5.425516694476537e-05,44.41053990619938
-6.247782801051272,106.84112831675527,0.0367573592811308,0.0001290836478211883,0.1177391865306883,3.903344232038671e-05,45.671951509871576
-6.247782801051272,106.85011146959648,0.0367597669988224,0.0001205411328823106,0.1177546687543233,5.387958210608736e-05,45.11688591452206
