s5p_co,s5p_no2,s5p_o3,s5p_so2,viirs_VIIRS_NTL
-0.3350254699904956,-0.38257912758252494,-0.8540165740342429,0.1221217931087421,-1.6462305813893074
-0.0624637402026569,-0.2647751245326126,-0.4538780529094122,-2.1592826177551783,-0.15788658603835867
-0.23099677351855274,-0.3451504228650792,-0.3648027626139807,-0.3289256183980216,-1.0215363880511559
-0.3120120037920136,-0.6937223129133643,-1.7215068425189368,0.30966010883245537,0.6983405506958884
-1.040979966191065,-0.6802498312393683,0.11585233811567558,-1.0260085168347401,0.5349850679365312
0.28036721400364767,0.6801381703032505,-0.8803552770800556,0.37119396461375287,-0.23345749445713995
-0.11817898895173881,0.7149792425850333,-0.8676159045761485,-1.2317480737799416,1.0008211412287258
0.9981606591368113,-0.12284084474569351,1.482205251854621,0.160617086721323,-0.4665127989981283
-1.131099795770792,-0.3383537366397924,0.36150267480701803,-0.11469053536065535,0.4805796650989397
1.241104959734646,1.579443529351413,-0.26565245116344754,0.015442414908131879,0.9582349890095816
1.7320196217953858,-0.08789512735818614,0.37744170285319445,-0.5970862665946355,-0.09282795730700956
1.328946520946092,0.571278278208257,0.45722386484973304,-0.5246301617574123,0.40536454971344493
-0.5097946329348694,1.7055227191015385,0.5228494093096672,0.5594412067793411,1.589947860353408
-1.5026841857295188,-0.49279724360415883,-1.2172180975103448,0.18591389711114711,0.4680708982825256
-0.5305348574371639,-0.2658028345663856,-1.1901890846090175,1.7235636785428778,-0.5059193853742229
0.19695968367295863,-0.1068708795276303,1.6947889184064533,-0.7411039564562764,0.8879340977003823
0.46529639879654566,-0.6420579267583262,-0.43904126913365804,1.651316370818983,0.4832680091695291
0.05285745915298836,-0.2322161640492875,0.26699049667732383,-0.036815647637342026,-0.24512894383431616
0.9097227313412479,0.32290767877036153,1.0164288871231948,0.32459673407582557,1.4321877580695987
-0.23545831115808533,-0.5656801320422032,-0.0767252788286053,-0.2306645415517153,-0.37696698226439446
