date,station,s5p_co,s5p_no2,s5p_o3,s5p_so2
2024-03-16,bundaran hotel indonesia,0.0265424667667098,8.202861197892647e-05,0.1079575376066465,
2024-03-16,jagakarsa,0.0269068935591673,9.144557045588234e-05,0.1077789808169968,
2024-03-16,jalan bdn ii,0.0250087065399256,5.6396949495069104e-05,0.1076790929766914,
2024-03-16,kebon jeruk,0.0266024258659025,7.277405205025173e-05,0.1079575376066465,
2024-03-16,kelapa gading,,0.00011008255404748822,0.108162231330322,
2024-03-16,komp angkasa pura jakarta pusat,0.0269068935591673,9.144557045588234e-05,0.108162231330322,
2024-03-16,lubang buaya,0.0249178558423162,5.306129874504984e-05,0.1082787557244736,
2024-03-16,us consulate jakarta pusat,0.0269068935591673,9.144557045588234e-05,0.108162231330322,
2024-03-17,bundaran hotel indonesia,0.0285020171567809,5.666093851099234e-05,0.1079057845502596,
2024-03-17,jagakarsa,0.0229089128058123,8.557251514294122e-05,0.1079405572880978,
2024-03-17,jalan bdn ii,0.0282015934086157,4.387502252576806e-05,0.1078520781906162,
2024-03-17,kebon jeruk,0.0285020182141716,6.0472905635325385e-05,0.1079057845502596,
2024-03-17,kelapa gading,0.0229089129539743,9.890273323793136e-05,0.1090570514843873,
2024-03-17,komp angkasa pura jakarta pusat,0.0229089128058123,8.557251514294122e-05,0.1090570514843873,
2024-03-17,lubang buaya,0.0249889522861643,4.629450904333211e-05,0.1085984718395788,
2024-03-17,us consulate jakarta pusat,0.0229089128058123,8.557251514294122e-05,0.1090570514843873,
2024-03-18,bundaran hotel indonesia,0.0254681665130717,9.54392883883914e-05,0.1077531124884074,
2024-03-18,jagakarsa,0.0242141988646671,0.00010292077813284329,0.1085045085545568,
2024-03-18,jalan bdn ii,0.024389309803766,6.346757544802469e-05,0.1079179467625864,
2024-03-18,kebon jeruk,0.0275936985309674,9.2464949510707e-05,0.1077531124884074,
2024-03-18,kelapa gading,0.0253127681881394,9.183181804516772e-05,0.1083471147178812,
2024-03-18,komp angkasa pura jakarta pusat,0.0242141988646671,0.00010292077813284329,0.1083471147178812,
2024-03-18,lubang buaya,0.0228888355169196,7.174622260291498e-05,0.1083074308664205,
2024-03-18,us consulate jakarta pusat,0.0242141988646671,0.00010292077813284329,0.1083471147178812,
2024-03-19,bundaran hotel indonesia,0.0266402838897522,5.904098861793643e-05,0.1082790773952245,2.1689227048867485e-06
2024-03-19,jagakarsa,0.0249976027034711,8.308771938063798e-05,0.1082927376944319,2.1689227048867485e-06
2024-03-19,jalan bdn ii,0.0258019276204939,6.053528142656608e-05,0.1092688422574768,8.745560181164398e-05
